Date,Price,Open,High,Low,Change %
01/01/15,1.5066,1.5577,1.5587,1.495,-3.26%
02/01/15,1.5432,1.5086,1.5554,1.4988,2.43%
03/01/15,1.4816,1.5442,1.5448,1.4634,-3.99%
04/01/15,1.5349,1.4818,1.5498,1.4566,3.60%
05/01/15,1.5288,1.5352,1.5816,1.5089,-0.40%
06/01/15,1.5705,1.5294,1.593,1.517,2.73%
07/01/15,1.5622,1.5711,1.5735,1.533,-0.53%
08/01/15,1.5342,1.563,1.5819,1.5335,-1.79%
09/01/15,1.5127,1.5344,1.566,1.5107,-1.40%
10/01/15,1.5428,1.5129,1.551,1.5107,1.99%
11/01/15,1.5054,1.5453,1.5498,1.4993,-2.42%
12/01/15,1.4738,1.5056,1.524,1.4724,-2.10%
01/01/16,1.4245,1.4736,1.4815,1.4081,-3.35%
02/01/16,1.3915,1.4239,1.467,1.3835,-2.32%
03/01/16,1.4358,1.3918,1.4516,1.3903,3.18%
04/01/16,1.4611,1.4361,1.4671,1.4006,1.76%
05/01/16,1.4477,1.461,1.477,1.4332,-0.92%
06/01/16,1.3306,1.4478,1.5021,1.312,-8.09%
07/01/16,1.3226,1.3311,1.3482,1.2799,-0.60%
08/01/16,1.3137,1.3237,1.3373,1.2865,-0.67%
09/01/16,1.2975,1.314,1.3448,1.2914,-1.23%
10/01/16,1.2242,1.2945,1.2949,1.1636,-5.65%
11/01/16,1.2504,1.2242,1.2675,1.2205,2.14%
12/01/16,1.2336,1.2505,1.2776,1.2198,-1.34%
01/01/17,1.2577,1.2345,1.2675,1.1983,1.95%
02/01/17,1.238,1.2582,1.2708,1.2346,-1.57%
03/01/17,1.2545,1.2381,1.2616,1.2108,1.33%
04/01/17,1.2946,1.2541,1.2967,1.2364,3.20%
05/01/17,1.2888,1.2953,1.3049,1.2768,-0.45%
06/01/17,1.3025,1.289,1.3032,1.2588,1.06%
07/01/17,1.3212,1.3015,1.3225,1.281,1.44%
08/01/17,1.2929,1.3215,1.3267,1.2773,-2.14%
09/01/17,1.3396,1.2931,1.3657,1.2904,3.61%
10/01/17,1.3282,1.3389,1.3404,1.3026,-0.85%
11/01/17,1.3525,1.3282,1.3549,1.3039,1.83%
12/01/17,1.3512,1.3525,1.3551,1.3302,-0.10%
01/01/18,1.419,1.3514,1.4346,1.3457,5.02%
02/01/18,1.376,1.4193,1.4279,1.3757,-3.03%
03/01/18,1.4015,1.3762,1.4246,1.3712,1.85%
04/01/18,1.3769,1.4025,1.4378,1.3712,-1.76%
05/01/18,1.3298,1.3761,1.3774,1.3204,-3.42%
06/01/18,1.3207,1.33,1.3473,1.3049,-0.68%
07/01/18,1.3124,1.3182,1.3363,1.2957,-0.63%
08/01/18,1.2961,1.3127,1.3146,1.2661,-1.24%
09/01/18,1.3028,1.2972,1.3299,1.2785,0.52%
10/01/18,1.2765,1.3032,1.326,1.2695,-2.02%
11/01/18,1.2751,1.2769,1.3176,1.2724,-0.11%
12/01/18,1.2757,1.2768,1.2841,1.2477,0.05%
01/01/19,1.31,1.2761,1.3218,1.2438,2.69%
02/01/19,1.3261,1.3107,1.335,1.2772,1.23%
03/01/19,1.3031,1.3262,1.3384,1.2948,-1.73%
04/01/19,1.3031,1.3038,1.3197,1.2865,0.00%
05/01/19,1.2631,1.3033,1.3178,1.2558,-3.07%
06/01/19,1.2693,1.2627,1.2785,1.2506,0.49%
07/01/19,1.2157,1.2695,1.2708,1.2119,-4.22%
08/01/19,1.2156,1.2155,1.231,1.2014,-0.01%
09/01/19,1.2287,1.2149,1.2583,1.1958,1.08%
10/01/19,1.294,1.2287,1.3013,1.2194,5.31%
11/01/19,1.2933,1.294,1.2986,1.2768,-0.05%
12/01/19,1.3259,1.2917,1.3516,1.2895,2.52%
01/01/20,1.3199,1.3261,1.3276,1.2953,-0.45%
02/01/20,1.282,1.3217,1.3217,1.2725,-2.87%
03/01/20,1.2418,1.28,1.3201,1.1409,-3.14%
04/01/20,1.2592,1.2429,1.2648,1.2164,1.40%
05/01/20,1.2344,1.2599,1.2602,1.2075,-1.97%
06/01/20,1.2399,1.2339,1.2814,1.2251,0.45%
07/01/20,1.3088,1.2401,1.3171,1.2358,5.56%
08/01/20,1.3369,1.3082,1.3396,1.2981,2.15%
09/01/20,1.2916,1.3367,1.3484,1.2674,-3.39%
10/01/20,1.2941,1.2919,1.3178,1.2818,0.19%
11/01/20,1.3321,1.2946,1.3399,1.2853,2.94%
12/01/20,1.3673,1.3325,1.3687,1.3134,2.64%
01/01/21,1.3702,1.3672,1.3761,1.3451,0.21%
02/01/21,1.3932,1.3713,1.4237,1.3566,1.68%
03/01/21,1.3779,1.3939,1.4017,1.367,-1.10%
04/01/21,1.3814,1.3781,1.401,1.3669,0.25%
05/01/21,1.4209,1.3827,1.4234,1.38,2.86%
06/01/21,1.3827,1.4213,1.425,1.3786,-2.69%
07/01/21,1.3901,1.3829,1.3985,1.3571,0.54%
08/01/21,1.3754,1.3901,1.3958,1.3601,-1.06%
09/01/21,1.3472,1.3753,1.3914,1.3412,-2.05%
10/01/21,1.3691,1.3472,1.3836,1.3434,1.63%
11/01/21,1.3295,1.3683,1.3699,1.3195,-2.89%
12/01/21,1.3529,1.3299,1.3551,1.3167,1.76%
01/01/22,1.3445,1.3531,1.375,1.3357,-0.62%
02/01/22,1.3419,1.3447,1.3645,1.3271,-0.19%
03/01/22,1.3133,1.3421,1.3439,1.2999,-2.13%
04/01/22,1.2571,1.3136,1.3168,1.241,-4.28%
05/01/22,1.26,1.2587,1.2667,1.2155,0.23%
06/01/22,1.2175,1.2604,1.2618,1.1933,-3.37%
07/01/22,1.2166,1.2177,1.2247,1.1759,-0.07%
08/01/22,1.1622,1.2165,1.2294,1.1598,-4.47%
09/01/22,1.116,1.1623,1.174,1.0384,-3.98%
10/01/22,1.1469,1.1161,1.1647,1.0924,2.77%
11/01/22,1.2056,1.1471,1.2155,1.1148,5.12%
12/01/22,1.2097,1.2056,1.2448,1.1992,0.34%
01/01/23,1.232,1.2098,1.245,1.184,1.84%
02/01/23,1.202,1.2319,1.2401,1.1914,-2.44%
03/01/23,1.2333,1.2021,1.2424,1.1803,2.60%
04/01/23,1.2572,1.2329,1.2585,1.2274,1.94%
05/01/23,1.2437,1.2566,1.268,1.2307,-1.07%
06/01/23,1.2704,1.244,1.285,1.2368,2.15%
07/01/23,1.2837,1.2687,1.3146,1.2658,1.05%
08/01/23,1.2673,1.2838,1.2843,1.2548,-1.28%
09/01/23,1.2197,1.2674,1.2714,1.211,-3.76%
10/01/23,1.2152,1.2201,1.2339,1.2036,-0.37%
11/01/23,1.2622,1.2155,1.2735,1.2095,3.87%
12/01/23,1.2729,1.2623,1.2829,1.2499,0.85%
01/01/24,1.2685,1.2731,1.2787,1.2595,-0.35%
02/01/24,1.2623,1.2687,1.2774,1.2517,-0.49%
03/01/24,1.2623,1.2625,1.2895,1.2574,0.00%
04/01/24,1.249,1.2631,1.2711,1.2298,-1.05%
05/01/24,1.2739,1.2494,1.2802,1.2445,1.99%
06/01/24,1.2642,1.2732,1.2862,1.2612,-0.76%
07/01/24,1.2856,1.2644,1.3046,1.2614,1.69%
08/01/24,1.3126,1.2856,1.3266,1.2662,2.10%
09/01/24,1.337,1.3122,1.3436,1.3001,1.86%
10/01/24,1.2898,1.3375,1.3391,1.2843,-3.53%
11/01/24,1.2737,1.2902,1.3049,1.2486,-1.25%
12/01/24,1.2511,1.2746,1.2813,1.2474,-1.77%
01/01/25,1.2393,1.2519,1.2577,1.2098,-0.94%
02/01/25,1.2579,1.2393,1.2717,1.2248,1.50%
03/01/25,1.2919,1.2587,1.3017,1.2577,2.70%
04/01/25,1.3331,1.2919,1.3446,1.2707,3.19%
05/01/25,1.3461,1.3331,1.3595,1.3139,0.98%
06/01/25,1.3735,1.3458,1.3772,1.3369,2.04%
07/01/25,1.3207,1.3735,1.379,1.3184,-3.84%
08/01/25,1.3505,1.3207,1.3596,1.314,2.26%
09/01/25,1.3446,1.3504,1.3728,1.3323,-0.44%
10/01/25,1.3155,1.3451,1.3529,1.3096,-2.16%
11/01/25,1.3238,1.314,1.327,1.3009,0.63%
12/01/25,1.3375,1.324,1.3392,1.318,1.03%
