Date,Quarter,GDP_QoQ
2015-03-31 23:59:59.999999999,2015Q1,0.3
2015-06-30 23:59:59.999999999,2015Q2,0.5
2015-09-30 23:59:59.999999999,2015Q3,0.4
2015-12-31 23:59:59.999999999,2015Q4,0.6
2016-03-31 23:59:59.999999999,2016Q1,0.5
2016-06-30 23:59:59.999999999,2016Q2,0.7
2016-09-30 23:59:59.999999999,2016Q3,0.4
2016-12-31 23:59:59.999999999,2016Q4,0.6
2017-03-31 23:59:59.999999999,2017Q1,1.0
2017-06-30 23:59:59.999999999,2017Q2,0.9
2017-09-30 23:59:59.999999999,2017Q3,0.7
2017-12-31 23:59:59.999999999,2017Q4,0.8
2018-03-31 23:59:59.999999999,2018Q1,0.1
2018-06-30 23:59:59.999999999,2018Q2,0.2
2018-09-30 23:59:59.999999999,2018Q3,0.3
2018-12-31 23:59:59.999999999,2018Q4,0.1
2019-03-31 23:59:59.999999999,2019Q1,0.5
2019-06-30 23:59:59.999999999,2019Q2,0.2
2019-09-30 23:59:59.999999999,2019Q3,0.6
2019-12-31 23:59:59.999999999,2019Q4,0.0
2020-03-31 23:59:59.999999999,2020Q1,-2.7
2020-06-30 23:59:59.999999999,2020Q2,-19.9
2020-09-30 23:59:59.999999999,2020Q3,17.0
2020-12-31 23:59:59.999999999,2020Q4,1.4
2021-03-31 23:59:59.999999999,2021Q1,-1.1
2021-06-30 23:59:59.999999999,2021Q2,7.0
2021-09-30 23:59:59.999999999,2021Q3,1.7
2021-12-31 23:59:59.999999999,2021Q4,1.4
2022-03-31 23:59:59.999999999,2022Q1,1.0
2022-06-30 23:59:59.999999999,2022Q2,0.6
2022-09-30 23:59:59.999999999,2022Q3,0.1
2022-12-31 23:59:59.999999999,2022Q4,0.3
2023-03-31 23:59:59.999999999,2023Q1,0.1
2023-06-30 23:59:59.999999999,2023Q2,0.0
2023-09-30 23:59:59.999999999,2023Q3,-0.2
2023-12-31 23:59:59.999999999,2023Q4,-0.3
2024-03-31 23:59:59.999999999,2024Q1,0.8
2024-06-30 23:59:59.999999999,2024Q2,0.6
2024-09-30 23:59:59.999999999,2024Q3,0.2
2024-12-31 23:59:59.999999999,2024Q4,0.2
2025-03-31 23:59:59.999999999,2025Q1,0.7
2025-06-30 23:59:59.999999999,2025Q2,0.3
2025-09-30 23:59:59.999999999,2025Q3,0.1
