"Date","Bank Rate, paid and charged on reserves, charged in weekly and fine tune              [a] [b]             YWMB47D"
"18 Sep 25","4"
"07 Aug 25","4"
"19 Jun 25","4.25"
"08 May 25","4.25"
"20 Mar 25","4.5"
"06 Feb 25","4.5"
"19 Dec 24","4.75"
"07 Nov 24","4.75"
"19 Sep 24","5"
"01 Aug 24","5"
"20 Jun 24","5.25"
"09 May 24","5.25"
"21 Mar 24","5.25"
"01 Feb 24","5.25"
"14 Dec 23","5.25"
"02 Nov 23","5.25"
"21 Sep 23","5.25"
"03 Aug 23","5.25"
"01 Jun 23","5"
"11 May 23","4.5"
"23 Mar 23","4.25"
"02 Feb 23","4"
"15 Dec 22","3.5"
"03 Nov 22","3"
"22 Sep 22","2.25"
"04 Aug 22","1.75"
"16 Jun 22","1.25"
"05 May 22","1"
"17 Mar 22","0.75"
"03 Feb 22","0.5"
"16 Dec 21","0.25"
"04 Nov 21","0.1"
"23 Sep 21","0.1"
"05 Aug 21","0.1"
"24 Jun 21","0.1"
"06 May 21","0.1"
"18 Mar 21","0.1"
"04 Feb 21","0.1"
"17 Dec 20","0.1"
"05 Nov 20","0.1"
"17 Sep 20","0.1"
"06 Aug 20","0.1"
"18 Jun 20","0.1"
"07 May 20","0.1"
"26 Mar 20","0.1"
"30 Jan 20","0.75"
"19 Dec 19","0.75"
"07 Nov 19","0.75"
"19 Sep 19","0.75"
"01 Aug 19","0.75"
"20 Jun 19","0.75"
"02 May 19","0.75"
"21 Mar 19","0.75"
"07 Feb 19","0.75"
"20 Dec 18","0.75"
"01 Nov 18","0.75"
"13 Sep 18","0.75"
"02 Aug 18","0.75"
"21 Jun 18","0.5"
"10 May 18","0.5"
"22 Mar 18","0.5"
"08 Feb 18","0.5"
"01 Dec 17","0.5"
"02 Nov 17","0.5"
"14 Sep 17","0.25"
"03 Aug 17","0.25"
"15 Jun 17","0.25"
"11 May 17","0.25"
"16 Mar 17","0.25"
"02 Feb 17","0.25"
"15 Dec 16","0.25"
"03 Nov 16","0.25"
"15 Sep 16","0.25"
"04 Aug 16","0.25"
"14 Jul 16","0.5"
"16 Jun 16","0.5"
"12 May 16","0.5"
"14 Apr 16","0.5"
"17 Mar 16","0.5"
"04 Feb 16","0.5"
"14 Jan 16","0.5"
"10 Dec 15","0.5"
"05 Nov 15","0.5"
"08 Oct 15","0.5"
"10 Sep 15","0.5"
"06 Aug 15","0.5"
"09 Jul 15","0.5"
"04 Jun 15","0.5"
"08 May 15","0.5"
"09 Apr 15","0.5"
"05 Mar 15","0.5"
"05 Feb 15","0.5"
"08 Jan 15","0.5"
