Date,Quarter,FTSE_Return,GBPUSD_Return,Inflation,BankRate,GDP_QoQ
2015-01-31,2015Q1,2.79,-3.26,0.5,0.5,0.3
2015-02-28,2015Q1,2.92,2.43,0.4,0.5,0.3
2015-03-31,2015Q1,-2.5,-3.99,0.3,0.5,0.3
2015-04-30,2015Q2,2.77,3.6,0.3,0.5,0.5
2015-05-31,2015Q2,0.34,-0.4,0.4,0.5,0.5
2015-06-30,2015Q2,-6.64,2.73,0.3,0.5,0.5
2015-07-31,2015Q3,2.69,-0.53,0.5,0.5,0.4
2015-08-31,2015Q3,-6.7,-1.79,0.4,0.5,0.4
2015-09-30,2015Q3,-2.98,-1.4,0.2,0.5,0.4
2015-10-31,2015Q4,4.94,1.99,0.2,0.5,0.6
2015-11-30,2015Q4,-0.08,-2.42,0.4,0.5,0.6
2015-12-31,2015Q4,-1.79,-2.1,0.5,0.5,0.6
2016-01-31,2016Q1,-2.54,-3.35,0.6,0.5,0.5
2016-02-29,2016Q1,0.22,-2.32,0.6,0.5,0.5
2016-03-31,2016Q1,1.28,3.18,0.8,0.5,0.5
2016-04-30,2016Q2,1.08,1.76,0.7,0.5,0.7
2016-05-31,2016Q2,-0.18,-0.92,0.7,0.5,0.7
2016-06-30,2016Q2,4.39,-8.09,0.8,0.5,0.7
2016-07-31,2016Q3,3.38,-0.6,0.9,0.5,0.4
2016-08-31,2016Q3,0.85,-0.67,1.0,0.25,0.4
2016-09-30,2016Q3,1.74,-1.23,1.3,0.25,0.4
2016-10-31,2016Q4,0.8,-5.65,1.3,0.25,0.6
2016-11-30,2016Q4,-2.45,2.14,1.5,0.25,0.6
2016-12-31,2016Q4,5.29,-1.34,1.8,0.25,0.6
2017-01-31,2017Q1,-0.61,1.95,1.9,0.25,1.0
2017-02-28,2017Q1,2.31,-1.57,2.3,0.25,1.0
2017-03-31,2017Q1,0.82,1.33,2.3,0.25,1.0
2017-04-30,2017Q2,-1.62,3.2,2.6,0.25,0.9
2017-05-31,2017Q2,4.39,-0.45,2.7,0.25,0.9
2017-06-30,2017Q2,-2.76,1.06,2.6,0.25,0.9
2017-07-31,2017Q3,0.81,1.44,2.6,0.25,0.7
2017-08-31,2017Q3,0.8,-2.14,2.7,0.25,0.7
2017-09-30,2017Q3,-0.78,3.61,2.8,0.25,0.7
2017-10-31,2017Q4,1.63,-0.85,2.8,0.25,0.8
2017-11-30,2017Q4,-2.22,1.83,2.8,0.5,0.8
2017-12-31,2017Q4,4.93,-0.1,2.7,0.5,0.8
2018-01-31,2018Q1,-2.01,5.02,2.7,0.5,0.1
2018-02-28,2018Q1,-4.0,-3.03,2.5,0.5,0.1
2018-03-31,2018Q1,-2.42,1.85,2.3,0.5,0.1
2018-04-30,2018Q2,6.42,-1.76,2.2,0.5,0.2
2018-05-31,2018Q2,2.25,-3.42,2.3,0.5,0.2
2018-06-30,2018Q2,-0.54,-0.68,2.3,0.5,0.2
2018-07-31,2018Q3,1.46,-0.63,2.3,0.5,0.3
2018-08-31,2018Q3,-4.08,-1.24,2.4,0.75,0.3
2018-09-30,2018Q3,1.05,0.52,2.2,0.75,0.3
2018-10-31,2018Q4,-5.09,-2.02,2.2,0.75,0.1
2018-11-30,2018Q4,-2.07,-0.11,2.2,0.75,0.1
2018-12-31,2018Q4,-3.61,0.05,2.0,0.75,0.1
2019-01-31,2019Q1,3.58,2.69,1.8,0.75,0.5
2019-02-28,2019Q1,1.52,1.23,1.8,0.75,0.5
2019-03-31,2019Q1,2.89,-1.73,1.8,0.75,0.5
2019-04-30,2019Q2,1.91,0.0,2.0,0.75,0.2
2019-05-31,2019Q2,-3.46,-3.07,1.9,0.75,0.2
2019-06-30,2019Q2,3.69,0.49,1.9,0.75,0.2
2019-07-31,2019Q3,2.17,-4.22,2.0,0.75,0.6
2019-08-31,2019Q3,-5.0,-0.01,1.7,0.75,0.6
2019-09-30,2019Q3,2.79,1.08,1.7,0.75,0.6
2019-10-31,2019Q4,-2.16,5.31,1.5,0.75,0.0
2019-11-30,2019Q4,1.35,-0.05,1.5,0.75,0.0
2019-12-31,2019Q4,2.67,2.52,1.4,0.75,0.0
2020-01-31,2020Q1,-3.4,-0.45,1.8,0.75,-2.7
2020-02-29,2020Q1,-9.68,-2.87,1.7,0.75,-2.7
2020-03-31,2020Q1,-13.81,-3.14,1.5,0.1,-2.7
2020-04-30,2020Q2,4.04,1.4,0.9,0.1,-19.9
2020-05-31,2020Q2,2.97,-1.97,0.7,0.1,-19.9
2020-06-30,2020Q2,1.53,0.45,0.8,0.1,-19.9
2020-07-31,2020Q3,-4.41,5.56,1.1,0.1,17.0
2020-08-31,2020Q3,1.12,2.15,0.5,0.1,17.0
2020-09-30,2020Q3,-1.63,-3.39,0.7,0.1,17.0
2020-10-31,2020Q4,-4.92,0.19,0.9,0.1,1.4
2020-11-30,2020Q4,12.35,2.94,0.6,0.1,1.4
2020-12-31,2020Q4,3.1,2.64,0.8,0.1,1.4
2021-01-31,2021Q1,-0.82,0.21,0.9,0.1,-1.1
2021-02-28,2021Q1,1.19,1.68,0.7,0.1,-1.1
2021-03-31,2021Q1,3.55,-1.1,1.0,0.1,-1.1
2021-04-30,2021Q2,3.82,0.25,1.6,0.1,7.0
2021-05-31,2021Q2,0.76,2.86,2.1,0.1,7.0
2021-06-30,2021Q2,0.21,-2.69,2.4,0.1,7.0
2021-07-31,2021Q3,-0.07,0.54,2.1,0.1,1.7
2021-08-31,2021Q3,1.24,-1.06,3.0,0.1,1.7
2021-09-30,2021Q3,-0.47,-2.05,2.9,0.1,1.7
2021-10-31,2021Q4,2.13,1.63,3.8,0.1,1.4
2021-11-30,2021Q4,-2.46,-2.89,4.6,0.1,1.4
2021-12-31,2021Q4,4.61,1.76,4.8,0.25,1.4
2022-01-31,2022Q1,1.08,-0.62,4.9,0.25,1.0
2022-02-28,2022Q1,-0.08,-0.19,5.5,0.5,1.0
2022-03-31,2022Q1,0.77,-2.13,6.2,0.75,1.0
2022-04-30,2022Q2,0.38,-4.28,7.8,0.75,0.6
2022-05-31,2022Q2,0.84,0.23,7.9,1.0,0.6
2022-06-30,2022Q2,-5.76,-3.37,8.2,1.25,0.6
2022-07-31,2022Q3,3.54,-0.07,8.8,1.25,0.1
2022-08-31,2022Q3,-1.88,-4.47,8.6,1.75,0.1
2022-09-30,2022Q3,-5.36,-3.98,8.8,2.25,0.1
2022-10-31,2022Q4,2.91,2.77,9.6,2.25,0.3
2022-11-30,2022Q4,6.74,5.12,9.3,3.0,0.3
2022-12-31,2022Q4,-1.6,0.34,9.2,3.5,0.3
2023-01-31,2023Q1,4.29,1.84,8.8,3.5,0.1
2023-02-28,2023Q1,1.35,-2.44,9.2,4.0,0.1
2023-03-31,2023Q1,-3.1,2.6,8.9,4.25,0.1
2023-04-30,2023Q2,3.13,1.94,7.8,4.25,0.0
2023-05-31,2023Q2,-5.39,-1.07,7.9,4.5,0.0
2023-06-30,2023Q2,1.15,2.15,7.3,5.0,0.0
2023-07-31,2023Q3,2.23,1.05,6.4,5.0,-0.2
2023-08-31,2023Q3,-3.38,-1.28,6.3,5.25,-0.2
2023-09-30,2023Q3,2.27,-3.76,6.3,5.25,-0.2
2023-10-31,2023Q4,-3.76,-0.37,4.7,5.25,-0.3
2023-11-30,2023Q4,1.8,3.87,4.2,5.25,-0.3
2023-12-31,2023Q4,3.75,0.85,4.2,5.25,-0.3
2024-01-31,2024Q1,-1.33,-0.35,4.2,5.25,0.8
2024-02-29,2024Q1,-0.01,-0.49,3.8,5.25,0.8
2024-03-31,2024Q1,4.23,0.0,3.8,5.25,0.8
2024-04-30,2024Q2,2.41,-1.05,3.0,5.25,0.6
2024-05-31,2024Q2,1.61,1.99,2.8,5.25,0.6
2024-06-30,2024Q2,-1.34,-0.76,2.8,5.25,0.6
2024-07-31,2024Q3,2.5,1.69,3.1,5.25,0.2
2024-08-31,2024Q3,0.1,2.1,3.1,5.0,0.2
2024-09-30,2024Q3,-1.67,1.86,2.6,5.0,0.2
2024-10-31,2024Q4,-1.54,-3.53,3.2,5.0,0.2
2024-11-30,2024Q4,2.18,-1.25,3.5,4.75,0.2
2024-12-31,2024Q4,-1.38,-1.77,3.5,4.75,0.2
2025-01-31,2025Q1,6.13,-0.94,3.9,4.75,0.7
2025-02-28,2025Q1,1.57,1.5,3.7,4.5,0.7
2025-03-31,2025Q1,-2.58,2.7,3.4,4.5,0.7
2025-04-30,2025Q2,-1.02,3.19,4.1,4.5,0.3
2025-05-31,2025Q2,3.27,0.98,4.0,4.25,0.3
2025-06-30,2025Q2,-0.13,2.04,4.1,4.25,0.3
2025-07-31,2025Q3,4.24,-3.84,4.2,4.25,0.1
2025-08-31,2025Q3,0.6,2.26,4.1,4.0,0.1
2025-09-30,2025Q3,1.78,-0.44,4.1,4.0,0.1
